,Id,Name,Location,Rating,Price,Zipcode,Pickup,Delivery,Reservation,Review Count,Categories,Status
49,xt8AcJzq61ksZbMJ1o--7Q,Wasabi Thai,897 Broadway,4.5,$,07002,False,True,False,110,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",False
,Id,Name,Location,Rating,Price,Zipcode,Pickup,Delivery,Reservation,Review Count,Categories,Status
0,8cyRl5HIQzbkYD7orq223g,SHI,4720 Center Blvd,3.5,$$,11109,True,True,False,822,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",False
1,hSiTqxKKgvQSI5x5VdMjoQ,Top Thai - Brooklyn,8510 4th Ave,3.5,$$,11209,True,True,False,310,"[{'alias': 'thai', 'title': 'Thai'}]",False
2,nCQCd3iHbmGJzpbKk5cDhA,Noodle Box Fusion,43-15 Bell Blvd,4.5,$$,11361,True,True,False,101,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cantonese', 'title': 'Cantonese'}]",False
3,ooHTw6KGNXsKj5TmyHKVuQ,Lucy's Vietnamese Bushwick,262 Irving Ave,3.5,$$,11237,True,True,False,495,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
4,joPF7gCKubbmloUSsH5NzA,Thai Cella,712 9th Ave,4.0,,10019,False,False,False,1,"[{'alias': 'thai', 'title': 'Thai'}]",False
5,HdOlH7fR1Lx6IZAisL6C_w,Beijing Dumpling,116-14 Queens Blvd,4.0,$,11375,True,True,False,92,"[{'alias': 'chinese', 'title': 'Chinese'}]",False
6,OPSCHpuBSthP7UwnMm0GSA,Spice,975 Amsterdam Ave,3.5,$$,10025,True,True,False,193,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",False
7,m_XJOT1R6whUQTfBfB5uGg,Hug Thai Cuisine,2618 Merrick Rd,4.0,$$,11710,True,True,False,80,"[{'alias': 'thai', 'title': 'Thai'}]",False
8,ClGOKso24nhGDmlFr7rToA,Lemon Leaf Thai Restaurant,197 Mineola Blvd,3.0,$$,11501,True,True,False,180,"[{'alias': 'thai', 'title': 'Thai'}]",False
9,nybFUH8FR1Dcn3DwYxe__Q,Durian,147 Chatsworth Ave,4.0,$$,10538,True,True,False,105,"[{'alias': 'thai', 'title': 'Thai'}]",False
10,ieOIBz6Gfqmwm1B0wUzh9g,Mama Lee,213-12 48th Ave,4.5,$$,11364,False,True,False,507,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]",False
11,7hyQqnnAisSL-nfIWCPziQ,Chop Shop,254 10th Ave,3.5,$$,10001,True,True,False,247,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}]",False
12,WM2tNgae2GSiUu-UPdbk6w,Eat Thai,654 9th Ave,4.0,$$,10036,True,True,False,60,"[{'alias': 'thai', 'title': 'Thai'}]",False
13,V-rY0hlPjAghV14jOlVUiQ,Nikko,1280 Amsterdam Ave,3.5,$$,10027,True,True,False,364,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",False
14,LvmDVd1OlRGFdtY4RH2iSQ,Abaya Thai,318 W 36th St,2.5,$$,10018,True,True,False,73,"[{'alias': 'thai', 'title': 'Thai'}]",False
15,ov8JN2CZGk0fwDO3rtQYSg,Rice Thai Kitchen,311 7th Ave,3.0,$$,11215,True,True,False,214,"[{'alias': 'thai', 'title': 'Thai'}]",False
16,CPv_PzTVuk2q-8Ndi6pXaQ,OK Ryan Restaurant,4104 College Point Blvd,4.0,$$,11355,True,True,False,167,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]",False
17,RDsn56-SOlE0cPDXsVz12A,Wild Ginger,424 Sunrise Hwy,3.5,$$,11570,True,True,False,416,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'panasian', 'title': 'Pan Asian'}]",False
18,o7vqvJmUqnXIG4-WqAZlXQ,Thai Flavors Kitchen,357 Broadway,4.5,$$,11714,False,False,False,217,"[{'alias': 'thai', 'title': 'Thai'}]",False
19,S0Qydvh12n5E_uodsLa8eA,Co Co Lin Vegetarian House,64-19 Fresh Pond Rd,4.0,$$,11385,True,True,False,264,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'vegan', 'title': 'Vegan'}]",False
20,wdT0AzrOgH_ASFqdWf1pMg,Peter's Kitchen,14909 Union Tpke,3.0,$,11367,True,True,False,95,"[{'alias': 'chinese', 'title': 'Chinese'}]",False
21,_yWKwNjynMD93fe339j9Wg,MoCA Asian Bistro,107-18 70th Rd,3.5,$$,11375,True,True,False,546,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",False
22,fEnX6R_foFOc3NriJY4J2Q,Three Bowls Noodle House,63-28 Roosevelt Ave,4.0,$$,11377,True,True,False,85,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}]",False
23,CvSOAN2WWzLRGND4vN1xtA,A1 Asian Fusion,2071 7th Ave,3.5,$$,10027,True,True,False,122,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'thai', 'title': 'Thai'}]",False
24,NebgteFykeM1gwiVgPcCHw,The Handpulled Noodle,3600 Broadway,4.0,$$,10031,True,True,False,832,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",False
25,EEf5KB5wx340TY7QwDKIqQ,More Express,281 Grove St,3.5,$$,07302,True,True,False,327,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'soup', 'title': 'Soup'}]",False
